Ascii Data Listing

Data listed on 10/24/23 17:30:26
file F:/PolyU/STM/SnTe/19 Oct 2023/Sb_SnTe_HOPG_PtIr_LT_2023_10_24_11_22_10_281.sm4, 10/24/23 11:13:31

Data Listing of Primary axis

 Plot Number: 1

	LIA Current, Bias 0.500 V, Setpoint 100.000 pA
	; ; 

8 lines of 1001 points, x units V y units A
LIA Current
Raw Data

DATA TABLE 3
	                	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       
	1x V            	1y3 A           	1y4 A           	1y5 A           	1y6 A           	1y7 A           	1y8 A           
	X_pixel         	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   
	Y_pixel         	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   
	+4.4099998e-01  	+1.0360526e-11  	+8.1225061e-12  	+1.4089486e-11  	+8.7964861e-12  	+1.9928930e-11  	+3.8109299e-12  
	+4.4000000e-01  	+1.1725193e-11  	+7.2934757e-12  	+1.4012885e-11  	+8.8306194e-12  	+1.7171223e-11  	+5.7558854e-12  
	+4.3900001e-01  	+1.0702075e-11  	+7.2917245e-12  	+1.6161385e-11  	+1.0598856e-11  	+1.8236166e-11  	+4.8470637e-12  
	+4.3799999e-01  	+1.1178823e-11  	+7.0556907e-12  	+1.5485445e-11  	+1.0163426e-11  	+2.0646280e-11  	+4.6577490e-12  
	+4.3700001e-01  	+1.0964047e-11  	+8.1475547e-12  	+1.5089367e-11  	+8.7379800e-12  	+1.5327050e-11  	+3.4578423e-12  
	+4.3599999e-01  	+1.0007173e-11  	+6.6171400e-12  	+1.5715235e-11  	+8.9886180e-12  	+1.7657844e-11  	+3.4728832e-12  
	+4.3500000e-01  	+1.0563675e-11  	+7.6055802e-12  	+1.5913527e-11  	+7.5671639e-12  	+1.4043543e-11  	+3.6824541e-12  
	+4.3400002e-01  	+1.0818383e-11  	+6.1646009e-12  	+1.5999632e-11  	+9.1692201e-12  	+1.3732156e-11  	+4.1515892e-12  
	+4.3300000e-01  	+1.0704245e-11  	+7.0312944e-12  	+1.7031175e-11  	+8.3344616e-12  	+1.5276043e-11  	+3.6142860e-12  
	+4.3199998e-01  	+8.6879540e-12  	+7.1533955e-12  	+1.4498196e-11  	+7.3579511e-12  	+1.2373417e-11  	+4.1027784e-12  
	+4.3099999e-01  	+8.3676070e-12  	+7.5795082e-12  	+1.4771689e-11  	+8.1925092e-12  	+1.0615359e-11  	+4.4218683e-12  
	+4.3000001e-01  	+7.9290940e-12  	+6.7459510e-12  	+1.7239385e-11  	+8.3705733e-12  	+9.7673805e-12  	+5.0099425e-12  
	+4.2899999e-01  	+8.2873274e-12  	+7.6094686e-12  	+1.4070967e-11  	+8.9082960e-12  	+1.3267244e-11  	+4.4162057e-12  
	+4.2800000e-01  	+8.5245214e-12  	+6.5445713e-12  	+1.5587183e-11  	+9.2006567e-12  	+1.3387669e-11  	+5.4293870e-12  
	+4.2699999e-01  	+8.0201401e-12  	+7.5428882e-12  	+1.5178579e-11  	+9.0103272e-12  	+1.5688948e-11  	+5.1601184e-12  
	+4.2600000e-01  	+8.1577713e-12  	+8.0810948e-12  	+1.3444736e-11  	+6.3700460e-12  	+1.5363190e-11  	+5.7149446e-12  
	+4.2500001e-01  	+8.1295101e-12  	+7.2684419e-12  	+1.5356634e-11  	+7.4293653e-12  	+1.6592094e-11  	+5.4738809e-12  
	+4.2399999e-01  	+9.3670471e-12  	+6.7213271e-12  	+1.3976842e-11  	+8.7698876e-12  	+1.8603919e-11  	+6.1448754e-12  
	+4.2299998e-01  	+9.2591716e-12  	+6.7648712e-12  	+1.3111239e-11  	+8.0971002e-12  	+1.4061495e-11  	+5.7098735e-12  
	+4.2199999e-01  	+8.8160486e-12  	+6.6635989e-12  	+1.2433161e-11  	+8.4208933e-12  	+1.4566542e-11  	+6.4390433e-12  
